Deck,Deck_links,Count,Share,Score,Win_Percentage
Mewtwo ex Wigglytuff ex,/decks/mewtwo-ex-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,3,0.01%,6 - 10 - 0,37.50%
Pidgeot Wigglytuff,/decks/pidgeot-wigglytuff-a1?game=POCKET&format=standard&set=A1,3,0.01%,3 - 5 - 0,37.50%
Raichu Jolteon,/decks/raichu-jolteon-a1?game=POCKET&format=standard&set=A1,3,0.01%,4 - 7 - 0,36.36%
Exeggutor ex Persian,/decks/exeggutor-ex-persian-a1?game=POCKET&format=standard&set=A1,3,0.01%,7 - 11 - 2,35.00%
Kabutops Farfetch'd,/decks/kabutops-farfetchd-a1?game=POCKET&format=standard&set=A1,3,0.01%,2 - 4 - 0,33.33%
Alakazam Exeggutor,/decks/alakazam-exeggutor-a1?game=POCKET&format=standard&set=A1,3,0.01%,4 - 8 - 0,33.33%
Poliwrath Tentacruel,/decks/poliwrath-tentacruel-a1?game=POCKET&format=standard&set=A1,3,0.01%,5 - 10 - 0,33.33%
Greninja Onix,/decks/greninja-onix-a1?game=POCKET&format=standard&set=A1,3,0.01%,3 - 6 - 0,33.33%
Rapidash Flareon,/decks/rapidash-flareon-a1?game=POCKET&format=standard&set=A1,3,0.01%,4 - 8 - 0,33.33%
Gengar ex Slowbro,/decks/gengar-ex-slowbro-a1?game=POCKET&format=standard&set=A1,3,0.01%,3 - 7 - 0,30.00%
Articuno ex Starmie,/decks/articuno-ex-starmie-a1?game=POCKET&format=standard&set=A1,3,0.01%,3 - 7 - 0,30.00%
Alakazam Snorlax,/decks/alakazam-snorlax-a1?game=POCKET&format=standard&set=A1,3,0.01%,3 - 7 - 0,30.00%
Marowak ex Machamp,/decks/marowak-ex-machamp-a1?game=POCKET&format=standard&set=A1,3,0.01%,5 - 12 - 0,29.41%
Dragonite Dodrio,/decks/dragonite-dodrio-a1?game=POCKET&format=standard&set=A1,3,0.01%,2 - 5 - 0,28.57%
Greninja Kangaskhan,/decks/greninja-kangaskhan-a1?game=POCKET&format=standard&set=A1,3,0.01%,2 - 5 - 0,28.57%
Sandslash Onix,/decks/sandslash-onix-a1?game=POCKET&format=standard&set=A1,3,0.01%,3 - 8 - 0,27.27%
Dragonite Bruxish,/decks/dragonite-bruxish-a1?game=POCKET&format=standard&set=A1,3,0.01%,3 - 8 - 0,27.27%
Articuno ex Butterfree,/decks/articuno-ex-butterfree-a1?game=POCKET&format=standard&set=A1,3,0.01%,3 - 9 - 0,25.00%
Pidgeot Tentacruel,/decks/pidgeot-tentacruel-a1?game=POCKET&format=standard&set=A1,3,0.01%,2 - 6 - 0,25.00%
Venusaur ex Meowth,/decks/venusaur-ex-meowth-a1?game=POCKET&format=standard&set=A1,3,0.01%,4 - 12 - 0,25.00%
Charizard ex Centiskorch,/decks/charizard-ex-centiskorch-a1?game=POCKET&format=standard&set=A1,3,0.01%,3 - 9 - 0,25.00%
Vaporeon Jolteon,/decks/vaporeon-jolteon-a1?game=POCKET&format=standard&set=A1,3,0.01%,2 - 7 - 0,22.22%
Dugtrio Kabutops,/decks/dugtrio-kabutops-a1?game=POCKET&format=standard&set=A1,3,0.01%,2 - 7 - 0,22.22%
Articuno ex Farfetch'd,/decks/articuno-ex-farfetchd-a1?game=POCKET&format=standard&set=A1,3,0.01%,3 - 10 - 1,21.43%
Greninja Meowth,/decks/greninja-meowth-a1?game=POCKET&format=standard&set=A1,3,0.01%,2 - 8 - 0,20.00%
Lapras ex Blastoise ex,/decks/lapras-ex-p-a-blastoise-ex-a1?game=POCKET&format=standard&set=A1,3,0.01%,2 - 8 - 0,20.00%
Gengar Wigglytuff ex,/decks/gengar-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,3,0.01%,2 - 9 - 0,18.18%
Bisharp Mawile,/decks/bisharp-mawile-a1?game=POCKET&format=standard&set=A1,3,0.01%,1 - 5 - 0,16.67%
Weezing Greninja,/decks/weezing-greninja-a1?game=POCKET&format=standard&set=A1,3,0.01%,1 - 5 - 0,16.67%
Machamp ex Farfetch'd,/decks/machamp-ex-farfetchd-a1?game=POCKET&format=standard&set=A1,3,0.01%,1 - 7 - 0,12.50%
Eelektross Pikachu ex,/decks/eelektross-pikachu-ex-a1?game=POCKET&format=standard&set=A1,3,0.01%,1 - 11 - 0,8.33%
Wigglytuff Melmetal,/decks/wigglytuff-melmetal-a1?game=POCKET&format=standard&set=A1,3,0.01%,0 - 5 - 0,0.00%
Dugtrio Grapploct,/decks/dugtrio-grapploct-a1?game=POCKET&format=standard&set=A1,3,0.01%,0 - 5 - 0,0.00%
Machoke Mankey,/decks/machoke-a1-mankey-p-a?game=POCKET&format=standard&set=A1,3,0.01%,0 - 5 - 1,0.00%
Pidgeot Fearow,/decks/pidgeot-fearow-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 1 - 0,75.00%
Pidgeot Wigglytuff ex,/decks/pidgeot-wigglytuff-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,8 - 3 - 0,72.73%
Greninja Kabutops,/decks/greninja-kabutops-a1?game=POCKET&format=standard&set=A1,2,0.01%,9 - 5 - 0,64.29%
Tentacruel Hypno,/decks/tentacruel-hypno-a1?game=POCKET&format=standard&set=A1,2,0.01%,8 - 5 - 0,61.54%
Arcanine ex Arcanine,/decks/arcanine-ex-arcanine-a1?game=POCKET&format=standard&set=A1,2,0.01%,8 - 5 - 0,61.54%
Articuno ex Articuno,/decks/articuno-ex-articuno-a1?game=POCKET&format=standard&set=A1,2,0.01%,9 - 6 - 0,60.00%
Dragonair Seel,/decks/dragonair-seel-a1?game=POCKET&format=standard&set=A1,2,0.01%,6 - 4 - 0,60.00%
Marowak ex Dodrio,/decks/marowak-ex-dodrio-a1?game=POCKET&format=standard&set=A1,2,0.01%,9 - 6 - 0,60.00%
Alakazam Meowth,/decks/alakazam-meowth-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 2 - 0,60.00%
Arbok Wigglytuff,/decks/arbok-wigglytuff-a1?game=POCKET&format=standard&set=A1,2,0.01%,6 - 4 - 0,60.00%
Marowak ex Meowth,/decks/marowak-ex-meowth-a1?game=POCKET&format=standard&set=A1,2,0.01%,10 - 7 - 0,58.82%
Zapdos ex Mewtwo ex,/decks/zapdos-ex-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,7 - 5 - 0,58.33%
Charizard ex Butterfree,/decks/charizard-ex-butterfree-a1?game=POCKET&format=standard&set=A1,2,0.01%,7 - 5 - 0,58.33%
Nidoking Farfetch'd,/decks/nidoking-farfetchd-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 3 - 1,55.56%
Jolteon Heliolisk,/decks/jolteon-heliolisk-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 4 - 0,55.56%
Frosmoth Tentacruel,/decks/frosmoth-tentacruel-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 4 - 0,55.56%
Wigglytuff ex Zapdos ex,/decks/wigglytuff-ex-zapdos-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 4 - 0,55.56%
Frosmoth Lapras ex,/decks/frosmoth-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A1,2,0.01%,5 - 4 - 0,55.56%
Greninja Persian,/decks/greninja-persian-a1?game=POCKET&format=standard&set=A1,2,0.01%,7 - 6 - 0,53.85%
Sandslash Marowak,/decks/sandslash-marowak-a1?game=POCKET&format=standard&set=A1,2,0.01%,7 - 6 - 0,53.85%
Dragonair Krabby,/decks/dragonair-krabby-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 5 - 0,50.00%
Greninja Wigglytuff,/decks/greninja-wigglytuff-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 4 - 0,50.00%
Venusaur Butterfree,/decks/venusaur-butterfree-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 4 - 0,50.00%
Wigglytuff ex Farfetch'd,/decks/wigglytuff-ex-farfetchd-a1?game=POCKET&format=standard&set=A1,2,0.01%,8 - 7 - 1,50.00%
Melmetal Kangaskhan,/decks/melmetal-kangaskhan-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 5 - 0,50.00%
Beedrill Venomoth,/decks/beedrill-venomoth-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 4 - 0,50.00%
Weezing Hypno,/decks/weezing-hypno-a1?game=POCKET&format=standard&set=A1,2,0.01%,6 - 6 - 0,50.00%
Articuno ex Marowak ex,/decks/articuno-ex-marowak-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,6 - 6 - 0,50.00%
Exeggutor ex,/decks/exeggutor-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 4 - 0,50.00%
Kabutops Heliolisk,/decks/kabutops-heliolisk-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 4 - 0,50.00%
Dragonair Psyduck,/decks/dragonair-psyduck-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 3 - 0,50.00%
Pidgeot Aerodactyl,/decks/pidgeot-aerodactyl-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 3 - 0,50.00%
Blastoise ex Wigglytuff,/decks/blastoise-ex-wigglytuff-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 4 - 1,50.00%
Zapdos ex Pidgeot,/decks/zapdos-ex-pidgeot-a1?game=POCKET&format=standard&set=A1,2,0.01%,6 - 7 - 0,46.15%
Gengar ex Persian,/decks/gengar-ex-persian-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 6 - 0,45.45%
Primeape,/decks/primeape-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 6 - 0,45.45%
Ninetales Heliolisk,/decks/ninetales-heliolisk-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 5 - 0,44.44%
Blastoise ex Jigglypuff,/decks/blastoise-ex-a1-jigglypuff-p-a?game=POCKET&format=standard&set=A1,2,0.01%,4 - 5 - 0,44.44%
Ivysaur Petilil,/decks/ivysaur-petilil-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 5 - 0,44.44%
Golduck Gyarados,/decks/golduck-gyarados-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 5 - 0,44.44%
Machamp ex Hitmonchan,/decks/machamp-ex-hitmonchan-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 5 - 0,44.44%
Arcanine ex Centiskorch,/decks/arcanine-ex-centiskorch-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 4 - 0,42.86%
Pidgeot Onix,/decks/pidgeot-onix-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 4 - 0,42.86%
Magneton Pikachu ex,/decks/magneton-pikachu-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 4 - 0,42.86%
Starmie Lapras ex,/decks/starmie-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A1,2,0.01%,3 - 4 - 0,42.86%
Exeggutor ex Parasect,/decks/exeggutor-ex-parasect-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 4 - 0,42.86%
Articuno ex Vaporeon,/decks/articuno-ex-vaporeon-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 4 - 0,42.86%
Dragonite Omastar,/decks/dragonite-omastar-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 4 - 0,42.86%
Dragonair Poliwhirl,/decks/dragonair-poliwhirl-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 4 - 0,42.86%
Articuno ex Seaking,/decks/articuno-ex-seaking-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 6 - 1,41.67%
Alakazam Gengar,/decks/alakazam-gengar-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 6 - 1,41.67%
Marowak ex Persian,/decks/marowak-ex-persian-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 7 - 0,41.67%
Mewtwo ex Hypno,/decks/mewtwo-ex-hypno-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 7 - 0,41.67%
Electrode Zapdos ex,/decks/electrode-zapdos-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 3 - 0,40.00%
Hypno Weezing,/decks/hypno-weezing-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 5 - 1,40.00%
Gengar ex Wigglytuff,/decks/gengar-ex-wigglytuff-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 6 - 0,40.00%
Gengar ex Golduck,/decks/gengar-ex-golduck-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 6 - 0,40.00%
Gardevoir Farfetch'd,/decks/gardevoir-farfetchd-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 6 - 0,40.00%
Starmie ex Kangaskhan,/decks/starmie-ex-kangaskhan-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 3 - 0,40.00%
Marowak ex Hypno,/decks/marowak-ex-hypno-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 6 - 0,40.00%
Dragonite Persian,/decks/dragonite-persian-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 3 - 0,40.00%
Starmie ex Blastoise,/decks/starmie-ex-blastoise-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 6 - 0,40.00%
Beedrill Exeggutor ex,/decks/beedrill-exeggutor-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 3 - 0,40.00%
Lapras ex Frosmoth,/decks/lapras-ex-p-a-frosmoth-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 6 - 0,40.00%
Greninja Jynx,/decks/greninja-jynx-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 6 - 0,40.00%
Omastar Cloyster,/decks/omastar-cloyster-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 8 - 0,38.46%
Rapidash Centiskorch,/decks/rapidash-centiskorch-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 8 - 0,38.46%
Poliwhirl Machoke,/decks/poliwhirl-machoke-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 5 - 0,37.50%
Venusaur ex Mewtwo,/decks/venusaur-ex-mewtwo-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 5 - 0,37.50%
Zapdos ex Golem,/decks/zapdos-ex-golem-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 5 - 0,37.50%
Articuno ex Bruxish,/decks/articuno-ex-bruxish-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 5 - 0,37.50%
Alakazam Pidgeot,/decks/alakazam-pidgeot-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 5 - 0,37.50%
Gyarados Frosmoth,/decks/gyarados-frosmoth-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 5 - 0,37.50%
Charizard ex Chansey,/decks/charizard-ex-chansey-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 5 - 0,37.50%
Dugtrio,/decks/dugtrio-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 5 - 0,37.50%
Pidgeot Persian,/decks/pidgeot-persian-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 7 - 0,36.36%
Zapdos ex Magneton,/decks/zapdos-ex-magneton-a1?game=POCKET&format=standard&set=A1,2,0.01%,4 - 7 - 0,36.36%
Charizard ex Pidgeot,/decks/charizard-ex-pidgeot-a1?game=POCKET&format=standard&set=A1,2,0.01%,5 - 9 - 0,35.71%
Butterfree Beedrill,/decks/butterfree-beedrill-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 6 - 0,33.33%
Kabutops Kangaskhan,/decks/kabutops-kangaskhan-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 2 - 0,33.33%
Wigglytuff ex Muk,/decks/wigglytuff-ex-muk-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 4 - 0,33.33%
Venusaur ex Charizard ex,/decks/venusaur-ex-charizard-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 2 - 0,33.33%
Greninja Alakazam,/decks/greninja-alakazam-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 6 - 0,33.33%
Arbok Centiskorch,/decks/arbok-centiskorch-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 4 - 0,33.33%
Exeggutor ex Lapras ex,/decks/exeggutor-ex-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A1,2,0.01%,2 - 4 - 0,33.33%
Sandslash Golbat,/decks/sandslash-golbat-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 6 - 0,33.33%
Moltres ex Flareon,/decks/moltres-ex-flareon-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 3 - 1,33.33%
Kadabra Haunter,/decks/kadabra-haunter-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 6 - 0,33.33%
Ninetales Centiskorch,/decks/ninetales-centiskorch-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 4 - 0,33.33%
Arbok Omastar,/decks/arbok-omastar-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 7 - 0,30.00%
Marowak ex Hitmonlee,/decks/marowak-ex-hitmonlee-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 7 - 0,30.00%
Machamp Primeape,/decks/machamp-primeape-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 7 - 0,30.00%
Butterfree Alakazam,/decks/butterfree-alakazam-a1?game=POCKET&format=standard&set=A1,2,0.01%,3 - 7 - 0,30.00%
Starmie ex Vaporeon,/decks/starmie-ex-vaporeon-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 4 - 1,28.57%
Articuno ex Mewtwo ex,/decks/articuno-ex-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 5 - 0,28.57%
Omastar Persian,/decks/omastar-persian-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 5 - 0,28.57%
Dugtrio Onix,/decks/dugtrio-onix-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 5 - 0,28.57%
Primeape Dugtrio,/decks/primeape-dugtrio-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 6 - 0,25.00%
Golbat Primeape,/decks/golbat-primeape-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 3 - 0,25.00%
Pidgeot Mewtwo ex,/decks/pidgeot-mewtwo-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 3 - 0,25.00%
Psyduck Seel,/decks/psyduck-seel-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 2 - 1,25.00%
Hypno Articuno,/decks/hypno-articuno-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 6 - 0,25.00%
Hypno Kingler,/decks/hypno-kingler-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 3 - 0,25.00%
Exeggutor ex Farfetch'd,/decks/exeggutor-ex-farfetchd-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 3 - 0,25.00%
Pidgeot Farfetch'd,/decks/pidgeot-farfetchd-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 6 - 1,22.22%
Dragonite Melmetal,/decks/dragonite-melmetal-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 6 - 1,22.22%
Machamp ex Hitmonlee,/decks/machamp-ex-hitmonlee-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 4 - 0,20.00%
Alakazam Golbat,/decks/alakazam-golbat-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 4 - 0,20.00%
Moltres ex Arcanine,/decks/moltres-ex-arcanine-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 4 - 0,20.00%
Marowak ex Aerodactyl,/decks/marowak-ex-aerodactyl-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 4 - 0,20.00%
Tentacruel Greninja,/decks/tentacruel-greninja-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 4 - 0,20.00%
Wigglytuff ex Gyarados,/decks/wigglytuff-ex-gyarados-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 4 - 0,20.00%
Wigglytuff ex Gengar ex,/decks/wigglytuff-ex-gengar-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,2 - 8 - 0,20.00%
Electrode Heliolisk,/decks/electrode-heliolisk-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 4 - 0,20.00%
Greninja Vaporeon,/decks/greninja-vaporeon-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 4 - 0,20.00%
Machamp ex Meowth,/decks/machamp-ex-meowth-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 4 - 0,20.00%
Greninja Gyarados,/decks/greninja-gyarados-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 5 - 0,16.67%
Gengar ex Marowak ex,/decks/gengar-ex-marowak-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 5 - 0,16.67%
Wigglytuff Ditto,/decks/wigglytuff-ditto-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 5 - 0,16.67%
Exeggutor ex Jolteon,/decks/exeggutor-ex-jolteon-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 5 - 0,16.67%
Weezing Farfetch'd,/decks/weezing-farfetchd-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 5 - 0,16.67%
Charizard ex Moltres,/decks/charizard-ex-moltres-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 5 - 0,16.67%
Seaking Lapras ex,/decks/seaking-a1-lapras-ex-p-a?game=POCKET&format=standard&set=A1,2,0.01%,1 - 5 - 0,16.67%
Vileplume Venomoth,/decks/vileplume-venomoth-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 5 - 0,16.67%
Pidgeot Frosmoth,/decks/pidgeot-frosmoth-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 5 - 0,16.67%
Omastar Kabutops,/decks/omastar-kabutops-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 6 - 0,14.29%
Venusaur ex Beedrill,/decks/venusaur-ex-beedrill-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 6 - 0,14.29%
Charizard ex Mewtwo,/decks/charizard-ex-mewtwo-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 7 - 0,12.50%
Golem,/decks/golem-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 7 - 0,12.50%
Heliolisk Zapdos ex,/decks/heliolisk-zapdos-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 8 - 0,11.11%
Heliolisk Articuno ex,/decks/heliolisk-articuno-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 8 - 0,11.11%
Gardevoir Jynx,/decks/gardevoir-jynx-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 8 - 0,11.11%
Wigglytuff ex Persian,/decks/wigglytuff-ex-persian-a1?game=POCKET&format=standard&set=A1,2,0.01%,1 - 9 - 0,10.00%
Starmie ex Meowth,/decks/starmie-ex-meowth-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 2 - 0,0.00%
Persian Gyarados,/decks/persian-gyarados-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 2 - 0,0.00%
Golem Chansey,/decks/golem-chansey-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 4 - 0,0.00%
Golem Sandslash,/decks/golem-sandslash-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 3 - 0,0.00%
Pidgeot Tauros,/decks/pidgeot-tauros-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 5 - 0,0.00%
Greninja Primeape,/decks/greninja-primeape-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 6 - 1,0.00%
Alakazam Mienshao,/decks/alakazam-mienshao-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 4 - 0,0.00%
Clefairy Slowpoke,/decks/clefairy-slowpoke-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 4 - 0,0.00%
Gengar ex Articuno ex,/decks/gengar-ex-articuno-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 5 - 0,0.00%
Exeggutor ex Dragonite,/decks/exeggutor-ex-dragonite-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 4 - 0,0.00%
Blastoise ex Zapdos ex,/decks/blastoise-ex-zapdos-ex-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 4 - 1,0.00%
Machamp Sandslash,/decks/machamp-sandslash-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 3 - 0,0.00%
Pidgeot Muk,/decks/pidgeot-muk-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 3 - 0,0.00%
Wartortle Frogadier,/decks/wartortle-frogadier-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 4 - 0,0.00%
Seel Krabby,/decks/seel-krabby-a1?game=POCKET&format=standard&set=A1,2,0.01%,0 - 3 - 0,0.00%
Blastoise ex Mienshao,/decks/blastoise-ex-mienshao-a1?game=POCKET&format=standard&set=A1,1,0.00%,1 - 0 - 0,100.00%
Machamp Hitmonlee,/decks/machamp-hitmonlee-a1?game=POCKET&format=standard&set=A1,1,0.00%,5 - 1 - 0,83.33%
Weezing Zebstrika,/decks/weezing-zebstrika-a1?game=POCKET&format=standard&set=A1,1,0.00%,5 - 1 - 0,83.33%
Gloom Weepinbell,/decks/gloom-weepinbell-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 1 - 0,80.00%
Ivysaur Caterpie,/decks/ivysaur-caterpie-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 1 - 0,80.00%
Ivysaur Charmeleon,/decks/ivysaur-charmeleon-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 1 - 0,80.00%
Marowak Cinccino,/decks/marowak-cinccino-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 1 - 0,80.00%
Kakuna Ivysaur,/decks/kakuna-ivysaur-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 1 - 0,80.00%
Machamp ex Mienshao,/decks/machamp-ex-mienshao-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 1 - 0,80.00%
Charizard Arcanine,/decks/charizard-arcanine-a1?game=POCKET&format=standard&set=A1,1,0.00%,6 - 2 - 0,75.00%
Kingler Articuno,/decks/kingler-articuno-a1?game=POCKET&format=standard&set=A1,1,0.00%,5 - 2 - 0,71.43%
Greninja Marowak,/decks/greninja-marowak-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 2 - 0,66.67%
Starmie Vaporeon,/decks/starmie-vaporeon-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 1 - 0,66.67%
Blastoise ex Starmie,/decks/blastoise-ex-starmie-a1?game=POCKET&format=standard&set=A1,1,0.00%,6 - 3 - 0,66.67%
Mewtwo ex Arbok,/decks/mewtwo-ex-arbok-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 1 - 0,66.67%
Machamp ex Fearow,/decks/machamp-ex-fearow-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 2 - 0,66.67%
Blastoise Gyarados,/decks/blastoise-gyarados-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 2 - 0,66.67%
Poliwrath Jolteon,/decks/poliwrath-jolteon-a1?game=POCKET&format=standard&set=A1,1,0.00%,2 - 1 - 0,66.67%
Greninja Muk,/decks/greninja-muk-a1?game=POCKET&format=standard&set=A1,1,0.00%,4 - 2 - 0,66.67%
Greninja Ninetales,/decks/greninja-ninetales-a1?game=POCKET&format=standard&set=A1,1,0.00%,5 - 3 - 0,62.50%
