,Deck,Count,Share,Score,Win_Percentage,Deck_links
374,Bisharp Dialga ex,5,0.01%,13 - 17 - 0,43.33%,/decks/bisharp-a1-dialga-ex-a2?game=POCKET&format=standard&set=A2
375,Magnezone Zebstrika,5,0.01%,10 - 14 - 0,41.67%,/decks/magnezone-a2-zebstrika-a1?game=POCKET&format=standard&set=A2
376,Rapidash Magcargo,5,0.01%,7 - 10 - 0,41.18%,/decks/rapidash-a1a-magcargo-a2?game=POCKET&format=standard&set=A2
377,Venusaur ex Serperior,5,0.01%,10 - 15 - 0,40.00%,/decks/venusaur-ex-a1-serperior-a1a?game=POCKET&format=standard&set=A2
378,Serperior Exeggutor,5,0.01%,9 - 12 - 2,39.13%,/decks/serperior-exeggutor-a1a?game=POCKET&format=standard&set=A2
379,Rampardos Mew ex,5,0.01%,7 - 11 - 0,38.89%,/decks/rampardos-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
380,Exeggutor ex Wigglytuff ex,5,0.01%,9 - 15 - 0,37.50%,/decks/exeggutor-ex-wigglytuff-ex-a1?game=POCKET&format=standard&set=A2
381,Luxray Glameow,5,0.01%,6 - 10 - 0,37.50%,/decks/luxray-glameow-a2?game=POCKET&format=standard&set=A2
382,Venusaur ex Mew ex,5,0.01%,6 - 10 - 0,37.50%,/decks/venusaur-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
383,Primeape Kabutops,5,0.01%,6 - 10 - 0,37.50%,/decks/primeape-kabutops-a1?game=POCKET&format=standard&set=A2
384,Aerodactyl ex Kabutops,5,0.01%,5 - 9 - 0,35.71%,/decks/aerodactyl-ex-a1a-kabutops-a1?game=POCKET&format=standard&set=A2
385,Dialga ex Bisharp,5,0.01%,5 - 9 - 0,35.71%,/decks/dialga-ex-a2-bisharp-a1?game=POCKET&format=standard&set=A2
386,Lucario Marshadow,5,0.01%,6 - 11 - 0,35.29%,/decks/lucario-a2-marshadow-a1a?game=POCKET&format=standard&set=A2
387,Garchomp Porygon-Z,5,0.01%,7 - 13 - 0,35.00%,/decks/garchomp-porygon-z-a2?game=POCKET&format=standard&set=A2
388,Zapdos ex,5,0.01%,7 - 13 - 0,35.00%,/decks/zapdos-ex-a1?game=POCKET&format=standard&set=A2
389,Charizard ex Infernape ex,5,0.01%,8 - 15 - 0,34.78%,/decks/charizard-ex-a1-infernape-ex-a2?game=POCKET&format=standard&set=A2
390,Aerodactyl ex Garchomp,5,0.01%,4 - 8 - 0,33.33%,/decks/aerodactyl-ex-a1a-garchomp-a2?game=POCKET&format=standard&set=A2
391,Pachirisu ex Galvantula,5,0.01%,5 - 10 - 0,33.33%,/decks/pachirisu-ex-a2-galvantula-a1a?game=POCKET&format=standard&set=A2
392,Greninja Infernape ex,5,0.01%,6 - 12 - 0,33.33%,/decks/greninja-a1-infernape-ex-a2?game=POCKET&format=standard&set=A2
393,Palkia ex Dragonite,5,0.01%,4 - 8 - 0,33.33%,/decks/palkia-ex-a2-dragonite-a1?game=POCKET&format=standard&set=A2
394,Alakazam Mew ex,5,0.01%,8 - 15 - 1,33.33%,/decks/alakazam-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
395,Alakazam Beheeyem,5,0.01%,4 - 9 - 0,30.77%,/decks/alakazam-a1-beheeyem-a1a?game=POCKET&format=standard&set=A2
396,Yanmega ex Darkrai ex,5,0.01%,6 - 14 - 0,30.00%,/decks/yanmega-ex-darkrai-ex-a2?game=POCKET&format=standard&set=A2
397,Alakazam Kangaskhan,5,0.01%,5 - 12 - 0,29.41%,/decks/alakazam-kangaskhan-a1?game=POCKET&format=standard&set=A2
398,Togekiss Druddigon,5,0.01%,4 - 10 - 0,28.57%,/decks/togekiss-a2-druddigon-a1a?game=POCKET&format=standard&set=A2
399,Empoleon Palkia ex,5,0.01%,4 - 10 - 0,28.57%,/decks/empoleon-palkia-ex-a2?game=POCKET&format=standard&set=A2
400,Gengar ex Gengar,5,0.01%,4 - 10 - 0,28.57%,/decks/gengar-ex-gengar-a1?game=POCKET&format=standard&set=A2
401,Exeggutor ex Dusknoir,5,0.01%,4 - 10 - 1,26.67%,/decks/exeggutor-ex-a1-dusknoir-a2?game=POCKET&format=standard&set=A2
402,Magnezone Regigigas,5,0.01%,3 - 10 - 0,23.08%,/decks/magnezone-regigigas-a2?game=POCKET&format=standard&set=A2
403,Weavile ex Greninja,5,0.01%,3 - 11 - 0,21.43%,/decks/weavile-ex-a2-greninja-a1?game=POCKET&format=standard&set=A2
404,Scolipede Weavile ex,5,0.01%,3 - 11 - 0,21.43%,/decks/scolipede-a1a-weavile-ex-a2?game=POCKET&format=standard&set=A2
405,Greninja Starmie ex,4,0.01%,13 - 10 - 0,56.52%,/decks/greninja-starmie-ex-a1?game=POCKET&format=standard&set=A2
406,Dugtrio Rampardos,4,0.01%,14 - 11 - 0,56.00%,/decks/dugtrio-a1-rampardos-a2?game=POCKET&format=standard&set=A2
407,Wigglytuff ex Magnezone,4,0.01%,13 - 12 - 0,52.00%,/decks/wigglytuff-ex-a1-magnezone-a2?game=POCKET&format=standard&set=A2
408,Garchomp Regigigas,4,0.01%,8 - 7 - 1,50.00%,/decks/garchomp-regigigas-a2?game=POCKET&format=standard&set=A2
409,Gallade ex Regirock,4,0.01%,13 - 13 - 0,50.00%,/decks/gallade-ex-regirock-a2?game=POCKET&format=standard&set=A2
410,Greninja Lumineon,4,0.01%,11 - 10 - 1,50.00%,/decks/greninja-a1-lumineon-a1a?game=POCKET&format=standard&set=A2
411,Dragonite Glameow,4,0.01%,12 - 13 - 0,48.00%,/decks/dragonite-a1-glameow-a2?game=POCKET&format=standard&set=A2
412,Magnezone Wormadam,4,0.01%,11 - 12 - 0,47.83%,/decks/magnezone-wormadam-a2?game=POCKET&format=standard&set=A2
413,Sandslash Rampardos,4,0.01%,11 - 12 - 0,47.83%,/decks/sandslash-a1-rampardos-a2?game=POCKET&format=standard&set=A2
414,Omastar Articuno ex,4,0.01%,10 - 11 - 0,47.62%,/decks/omastar-articuno-ex-a1?game=POCKET&format=standard&set=A2
415,Porygon-Z Dialga ex,4,0.01%,8 - 8 - 1,47.06%,/decks/porygon-z-dialga-ex-a2?game=POCKET&format=standard&set=A2
416,Darkrai ex Weezing,4,0.01%,8 - 9 - 0,47.06%,/decks/darkrai-ex-a2-weezing-a1a?game=POCKET&format=standard&set=A2
417,Machamp ex Machamp,4,0.01%,7 - 8 - 0,46.67%,/decks/machamp-ex-machamp-a1?game=POCKET&format=standard&set=A2
418,Magnezone Magcargo,4,0.01%,6 - 7 - 0,46.15%,/decks/magnezone-magcargo-a2?game=POCKET&format=standard&set=A2
419,Weavile ex Yanmega ex,4,0.01%,11 - 13 - 0,45.83%,/decks/weavile-ex-yanmega-ex-a2?game=POCKET&format=standard&set=A2
420,Hypno Glaceon,4,0.01%,11 - 13 - 0,45.83%,/decks/hypno-a1-glaceon-a2?game=POCKET&format=standard&set=A2
421,Yanmega ex Magcargo,4,0.01%,5 - 6 - 0,45.45%,/decks/yanmega-ex-magcargo-a2?game=POCKET&format=standard&set=A2
422,Gallade ex Meowth,4,0.01%,10 - 12 - 0,45.45%,/decks/gallade-ex-a2-meowth-a1?game=POCKET&format=standard&set=A2
423,Golem Aerodactyl ex,4,0.01%,10 - 12 - 0,45.45%,/decks/golem-aerodactyl-ex-a1a?game=POCKET&format=standard&set=A2
424,Blastoise ex Giratina,4,0.01%,8 - 10 - 0,44.44%,/decks/blastoise-ex-a1-giratina-a2?game=POCKET&format=standard&set=A2
425,Mismagius ex Gengar ex,4,0.01%,8 - 10 - 0,44.44%,/decks/mismagius-ex-a2-gengar-ex-a1?game=POCKET&format=standard&set=A2
426,Mew ex Palkia ex,4,0.01%,7 - 8 - 1,43.75%,/decks/mew-ex-a1a-palkia-ex-a2?game=POCKET&format=standard&set=A2
427,Infernape ex Ninetales,4,0.01%,7 - 9 - 0,43.75%,/decks/infernape-ex-a2-ninetales-a1?game=POCKET&format=standard&set=A2
428,Wigglytuff ex Melmetal,4,0.01%,7 - 9 - 0,43.75%,/decks/wigglytuff-ex-melmetal-a1?game=POCKET&format=standard&set=A2
429,Yanmega ex Manaphy,4,0.01%,10 - 13 - 0,43.48%,/decks/yanmega-ex-manaphy-a2?game=POCKET&format=standard&set=A2
430,Gengar Togekiss,4,0.01%,9 - 12 - 0,42.86%,/decks/gengar-a1-togekiss-a2?game=POCKET&format=standard&set=A2
431,Greninja Bruxish,4,0.01%,8 - 11 - 0,42.11%,/decks/greninja-bruxish-a1?game=POCKET&format=standard&set=A2
432,Magnezone Purugly,4,0.01%,5 - 7 - 0,41.67%,/decks/magnezone-purugly-a2?game=POCKET&format=standard&set=A2
433,Dragonite Yanmega ex,4,0.01%,7 - 10 - 0,41.18%,/decks/dragonite-a1-yanmega-ex-a2?game=POCKET&format=standard&set=A2
434,Exeggutor ex Lickilicky ex,4,0.01%,7 - 10 - 0,41.18%,/decks/exeggutor-ex-a1-lickilicky-ex-a2?game=POCKET&format=standard&set=A2
435,Magnezone Exeggutor ex,4,0.01%,7 - 10 - 0,41.18%,/decks/magnezone-a2-exeggutor-ex-a1?game=POCKET&format=standard&set=A2
436,Garchomp Regirock,4,0.01%,9 - 13 - 0,40.91%,/decks/garchomp-regirock-a2?game=POCKET&format=standard&set=A2
437,Machamp ex Primeape,4,0.01%,6 - 9 - 0,40.00%,/decks/machamp-ex-a1-primeape-a1a?game=POCKET&format=standard&set=A2
438,Exeggutor ex Pidgeot ex,4,0.01%,6 - 9 - 0,40.00%,/decks/exeggutor-ex-a1-pidgeot-ex-a1a?game=POCKET&format=standard&set=A2
439,Greninja Glaceon,4,0.01%,8 - 12 - 0,40.00%,/decks/greninja-a1-glaceon-a2?game=POCKET&format=standard&set=A2
440,Rampardos Primeape,4,0.01%,8 - 12 - 0,40.00%,/decks/rampardos-a2-primeape-a1?game=POCKET&format=standard&set=A2
441,Exeggutor ex Lilligant,4,0.01%,9 - 13 - 1,39.13%,/decks/exeggutor-ex-lilligant-a1?game=POCKET&format=standard&set=A2
442,Pidgeot ex Weezing,4,0.01%,7 - 11 - 0,38.89%,/decks/pidgeot-ex-a1a-weezing-a1?game=POCKET&format=standard&set=A2
443,Mewtwo ex Dusknoir,4,0.01%,5 - 8 - 0,38.46%,/decks/mewtwo-ex-a1-dusknoir-a2?game=POCKET&format=standard&set=A2
444,Venusaur ex Lilligant,4,0.01%,6 - 10 - 0,37.50%,/decks/venusaur-ex-lilligant-a1?game=POCKET&format=standard&set=A2
445,Bastiodon Mew ex,4,0.01%,9 - 15 - 0,37.50%,/decks/bastiodon-a2-mew-ex-a1a?game=POCKET&format=standard&set=A2
446,Infernape ex Kangaskhan,4,0.01%,6 - 10 - 0,37.50%,/decks/infernape-ex-a2-kangaskhan-a1?game=POCKET&format=standard&set=A2
447,Palkia ex Mamoswine,4,0.01%,6 - 10 - 0,37.50%,/decks/palkia-ex-mamoswine-a2?game=POCKET&format=standard&set=A2
448,Marowak ex Marowak,4,0.01%,4 - 7 - 0,36.36%,/decks/marowak-ex-marowak-a1?game=POCKET&format=standard&set=A2
449,Pidgeot ex Exeggutor ex,4,0.01%,5 - 9 - 0,35.71%,/decks/pidgeot-ex-a1a-exeggutor-ex-a1?game=POCKET&format=standard&set=A2
450,Weavile ex Weezing,4,0.01%,5 - 9 - 0,35.71%,/decks/weavile-ex-a2-weezing-a1a?game=POCKET&format=standard&set=A2
451,Yanmega ex Pachirisu ex,4,0.01%,6 - 11 - 0,35.29%,/decks/yanmega-ex-pachirisu-ex-a2?game=POCKET&format=standard&set=A2
452,Bibarel Farfetch'd,4,0.01%,6 - 11 - 0,35.29%,/decks/bibarel-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
453,Togekiss Cresselia,4,0.01%,6 - 11 - 0,35.29%,/decks/togekiss-cresselia-a2?game=POCKET&format=standard&set=A2
454,Palkia ex Purugly,4,0.01%,7 - 13 - 0,35.00%,/decks/palkia-ex-purugly-a2?game=POCKET&format=standard&set=A2
455,Lucario Farfetch'd,4,0.01%,4 - 8 - 0,33.33%,/decks/lucario-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
456,Lickilicky ex Manaphy,4,0.01%,4 - 8 - 0,33.33%,/decks/lickilicky-ex-manaphy-a2?game=POCKET&format=standard&set=A2
457,Garchomp Tauros,4,0.01%,5 - 10 - 0,33.33%,/decks/garchomp-a2-tauros-a1a?game=POCKET&format=standard&set=A2
458,Floatzel Piloswine,4,0.01%,7 - 14 - 0,33.33%,/decks/floatzel-piloswine-a2?game=POCKET&format=standard&set=A2
459,Celebi ex Beedrill,4,0.01%,5 - 10 - 0,33.33%,/decks/celebi-ex-a1a-beedrill-a1?game=POCKET&format=standard&set=A2
460,Mismagius ex Giratina,4,0.01%,7 - 14 - 0,33.33%,/decks/mismagius-ex-giratina-a2?game=POCKET&format=standard&set=A2
461,Dialga ex Butterfree,4,0.01%,6 - 13 - 0,31.58%,/decks/dialga-ex-a2-butterfree-a1?game=POCKET&format=standard&set=A2
462,Moltres ex Magmortar,4,0.01%,4 - 9 - 0,30.77%,/decks/moltres-ex-a1-magmortar-a2?game=POCKET&format=standard&set=A2
463,Moltres ex Magcargo,4,0.01%,4 - 9 - 0,30.77%,/decks/moltres-ex-a1-magcargo-a2?game=POCKET&format=standard&set=A2
464,Magnezone Raichu,4,0.01%,5 - 11 - 1,29.41%,/decks/magnezone-a2-raichu-a1a?game=POCKET&format=standard&set=A2
465,Aerodactyl ex Victreebel,4,0.01%,4 - 10 - 0,28.57%,/decks/aerodactyl-ex-a1a-victreebel-a1?game=POCKET&format=standard&set=A2
466,Magnezone Pachirisu ex,4,0.01%,3 - 8 - 0,27.27%,/decks/magnezone-pachirisu-ex-a2?game=POCKET&format=standard&set=A2
467,Magnezone Dragonite,4,0.01%,4 - 11 - 0,26.67%,/decks/magnezone-a2-dragonite-a1?game=POCKET&format=standard&set=A2
468,Moltres ex Infernape ex,4,0.01%,5 - 14 - 0,26.32%,/decks/moltres-ex-a1-infernape-ex-a2?game=POCKET&format=standard&set=A2
469,Weavile ex Spiritomb,4,0.01%,3 - 9 - 0,25.00%,/decks/weavile-ex-spiritomb-a2?game=POCKET&format=standard&set=A2
470,Weezing Darkrai ex,4,0.01%,3 - 10 - 0,23.08%,/decks/weezing-a1a-darkrai-ex-a2?game=POCKET&format=standard&set=A2
471,Wormadam Farfetch'd,4,0.01%,2 - 7 - 0,22.22%,/decks/wormadam-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
472,Magnezone Darkrai,4,0.01%,2 - 7 - 0,22.22%,/decks/magnezone-darkrai-a2?game=POCKET&format=standard&set=A2
473,Blastoise ex Greninja,4,0.01%,3 - 11 - 0,21.43%,/decks/blastoise-ex-greninja-a1?game=POCKET&format=standard&set=A2
474,Farfetch'd Skarmory,4,0.01%,2 - 8 - 0,20.00%,/decks/farfetchd-a1-skarmory-a2?game=POCKET&format=standard&set=A2
475,Yanmega ex Primeape,4,0.01%,2 - 9 - 0,18.18%,/decks/yanmega-ex-a2-primeape-a1a?game=POCKET&format=standard&set=A2
476,Primeape Rampardos,4,0.01%,2 - 10 - 0,16.67%,/decks/primeape-a1a-rampardos-a2?game=POCKET&format=standard&set=A2
477,Magnezone Regirock,4,0.01%,1 - 9 - 0,10.00%,/decks/magnezone-regirock-a2?game=POCKET&format=standard&set=A2
478,Zebstrika Galvantula,4,0.01%,0 - 8 - 0,0.00%,/decks/zebstrika-a1-galvantula-a1a?game=POCKET&format=standard&set=A2
479,Mewtwo ex Mismagius ex,4,0.01%,0 - 6 - 0,0.00%,/decks/mewtwo-ex-a1-mismagius-ex-a2?game=POCKET&format=standard&set=A2
480,Rapidash Salazzle,4,0.01%,0 - 6 - 0,0.00%,/decks/rapidash-salazzle-a1a?game=POCKET&format=standard&set=A2
481,Lucario Gliscor,3,0.01%,9 - 5 - 0,64.29%,/decks/lucario-gliscor-a2?game=POCKET&format=standard&set=A2
482,Pachirisu ex Electrode,3,0.01%,5 - 3 - 0,62.50%,/decks/pachirisu-ex-electrode-a2?game=POCKET&format=standard&set=A2
483,Magnezone Yanmega ex,3,0.01%,8 - 5 - 0,61.54%,/decks/magnezone-yanmega-ex-a2?game=POCKET&format=standard&set=A2
484,Garchomp Magnezone,3,0.01%,14 - 9 - 0,60.87%,/decks/garchomp-magnezone-a2?game=POCKET&format=standard&set=A2
485,Machamp ex Druddigon,3,0.01%,8 - 6 - 0,57.14%,/decks/machamp-ex-a1-druddigon-a1a?game=POCKET&format=standard&set=A2
486,Palkia ex Giratina,3,0.01%,10 - 8 - 0,55.56%,/decks/palkia-ex-giratina-a2?game=POCKET&format=standard&set=A2
487,Yanmega ex Celebi ex,3,0.01%,6 - 5 - 0,54.55%,/decks/yanmega-ex-a2-celebi-ex-a1a?game=POCKET&format=standard&set=A2
488,Magnezone Wigglytuff ex,3,0.01%,7 - 6 - 0,53.85%,/decks/magnezone-a2-wigglytuff-ex-a1?game=POCKET&format=standard&set=A2
489,Arbok Darkrai ex,3,0.01%,8 - 7 - 0,53.33%,/decks/arbok-a1-darkrai-ex-a2?game=POCKET&format=standard&set=A2
490,Mismagius ex Cresselia ex,3,0.01%,9 - 8 - 0,52.94%,/decks/mismagius-ex-a2-cresselia-ex-p-a?game=POCKET&format=standard&set=A2
491,Gallade ex Primeape,3,0.01%,9 - 8 - 0,52.94%,/decks/gallade-ex-a2-primeape-a1?game=POCKET&format=standard&set=A2
492,Golem Shaymin,3,0.01%,9 - 8 - 0,52.94%,/decks/golem-a1a-shaymin-a2?game=POCKET&format=standard&set=A2
493,Mewtwo ex Uxie,3,0.01%,10 - 9 - 0,52.63%,/decks/mewtwo-ex-a1-uxie-a2?game=POCKET&format=standard&set=A2
494,Pachirisu ex Rotom,3,0.01%,10 - 9 - 0,52.63%,/decks/pachirisu-ex-rotom-a2?game=POCKET&format=standard&set=A2
495,Machamp ex Mew ex,3,0.01%,11 - 10 - 0,52.38%,/decks/machamp-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
496,Starmie ex Tentacruel,3,0.01%,13 - 12 - 0,52.00%,/decks/starmie-ex-tentacruel-a1?game=POCKET&format=standard&set=A2
497,Gallade ex Spiritomb,3,0.01%,7 - 7 - 0,50.00%,/decks/gallade-ex-spiritomb-a2?game=POCKET&format=standard&set=A2
498,Magneton Electivire,3,0.01%,5 - 5 - 0,50.00%,/decks/magneton-a1-electivire-a2?game=POCKET&format=standard&set=A2
499,Gengar Giratina,3,0.01%,5 - 5 - 0,50.00%,/decks/gengar-a1-giratina-a2?game=POCKET&format=standard&set=A2
500,Scolipede Weezing,3,0.01%,8 - 8 - 0,50.00%,/decks/scolipede-weezing-a1a?game=POCKET&format=standard&set=A2
501,Lucario Primeape,3,0.01%,8 - 8 - 1,47.06%,/decks/lucario-a2-primeape-a1a?game=POCKET&format=standard&set=A2
502,Weavile ex Farfetch'd,3,0.01%,8 - 9 - 0,47.06%,/decks/weavile-ex-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
503,Cresselia ex Togekiss,3,0.01%,8 - 9 - 0,47.06%,/decks/cresselia-ex-p-a-togekiss-a2?game=POCKET&format=standard&set=A2
504,Dragonite Hypno,3,0.01%,7 - 8 - 0,46.67%,/decks/dragonite-hypno-a1?game=POCKET&format=standard&set=A2
505,Gardevoir Uxie,3,0.01%,7 - 7 - 1,46.67%,/decks/gardevoir-a1-uxie-a2?game=POCKET&format=standard&set=A2
506,Greninja Wigglytuff ex,3,0.01%,6 - 7 - 0,46.15%,/decks/greninja-wigglytuff-ex-a1?game=POCKET&format=standard&set=A2
507,Starmie ex Kingler,3,0.01%,6 - 7 - 0,46.15%,/decks/starmie-ex-kingler-a1?game=POCKET&format=standard&set=A2
508,Dragonite Articuno ex,3,0.01%,6 - 7 - 0,46.15%,/decks/dragonite-articuno-ex-a1?game=POCKET&format=standard&set=A2
509,Wigglytuff ex Wormadam,3,0.01%,6 - 7 - 0,46.15%,/decks/wigglytuff-ex-a1-wormadam-a2?game=POCKET&format=standard&set=A2
510,Mamoswine Articuno ex,3,0.01%,8 - 9 - 1,44.44%,/decks/mamoswine-a2-articuno-ex-a1?game=POCKET&format=standard&set=A2
511,Pidgeot ex Darkrai ex,3,0.01%,7 - 9 - 0,43.75%,/decks/pidgeot-ex-a1a-darkrai-ex-a2?game=POCKET&format=standard&set=A2
512,Empoleon Spiritomb,3,0.01%,6 - 8 - 0,42.86%,/decks/empoleon-spiritomb-a2?game=POCKET&format=standard&set=A2
513,Butterfree Exeggutor ex,3,0.01%,6 - 8 - 0,42.86%,/decks/butterfree-exeggutor-ex-a1?game=POCKET&format=standard&set=A2
514,Skarmory Melmetal,3,0.01%,6 - 8 - 0,42.86%,/decks/skarmory-a2-melmetal-a1?game=POCKET&format=standard&set=A2
515,Nidoking Weezing,3,0.01%,8 - 11 - 0,42.11%,/decks/nidoking-weezing-a1?game=POCKET&format=standard&set=A2
516,Dragonite Greninja,3,0.01%,8 - 11 - 0,42.11%,/decks/dragonite-greninja-a1?game=POCKET&format=standard&set=A2
517,Lucario Hitmontop,3,0.01%,5 - 7 - 0,41.67%,/decks/lucario-hitmontop-a2?game=POCKET&format=standard&set=A2
518,Blastoise ex Starmie ex,3,0.01%,5 - 7 - 0,41.67%,/decks/blastoise-ex-starmie-ex-a1?game=POCKET&format=standard&set=A2
519,Charizard ex Rapidash,3,0.01%,7 - 10 - 0,41.18%,/decks/charizard-ex-a1-rapidash-a1a?game=POCKET&format=standard&set=A2
520,Luxray Lopunny,3,0.01%,7 - 10 - 0,41.18%,/decks/luxray-lopunny-a2?game=POCKET&format=standard&set=A2
521,Kabutops Farfetch'd,3,0.01%,4 - 4 - 2,40.00%,/decks/kabutops-farfetchd-a1?game=POCKET&format=standard&set=A2
522,Gallade ex Gardevoir,3,0.01%,6 - 9 - 0,40.00%,/decks/gallade-ex-a2-gardevoir-a1?game=POCKET&format=standard&set=A2
523,Rhyperior Hitmonlee,3,0.01%,6 - 9 - 0,40.00%,/decks/rhyperior-a2-hitmonlee-a1?game=POCKET&format=standard&set=A2
524,Togekiss Hypno,3,0.01%,4 - 6 - 0,40.00%,/decks/togekiss-a2-hypno-a1?game=POCKET&format=standard&set=A2
525,Greninja Lumineon,3,0.01%,6 - 9 - 0,40.00%,/decks/greninja-a1-lumineon-a2?game=POCKET&format=standard&set=A2
526,Gardevoir Mismagius ex,3,0.01%,6 - 9 - 0,40.00%,/decks/gardevoir-a1-mismagius-ex-a2?game=POCKET&format=standard&set=A2
527,Celebi ex Dusknoir,3,0.01%,4 - 6 - 0,40.00%,/decks/celebi-ex-a1a-dusknoir-a2?game=POCKET&format=standard&set=A2
528,Articuno ex Omastar,3,0.01%,5 - 8 - 0,38.46%,/decks/articuno-ex-omastar-a1?game=POCKET&format=standard&set=A2
529,Magnezone Magmar,3,0.01%,5 - 8 - 0,38.46%,/decks/magnezone-a2-magmar-a1a?game=POCKET&format=standard&set=A2
530,Luxray Electrode,3,0.01%,5 - 8 - 0,38.46%,/decks/luxray-a2-electrode-a1?game=POCKET&format=standard&set=A2
531,Pachirisu ex Raichu,3,0.01%,5 - 8 - 0,38.46%,/decks/pachirisu-ex-a2-raichu-a1?game=POCKET&format=standard&set=A2
532,Mamoswine,3,0.01%,6 - 10 - 0,37.50%,/decks/mamoswine-a2?game=POCKET&format=standard&set=A2
533,Pidgeot ex Zebstrika,3,0.01%,6 - 10 - 0,37.50%,/decks/pidgeot-ex-a1a-zebstrika-a1?game=POCKET&format=standard&set=A2
534,Magnezone Mismagius ex,3,0.01%,3 - 5 - 0,37.50%,/decks/magnezone-mismagius-ex-a2?game=POCKET&format=standard&set=A2
535,Aerodactyl ex Mew ex,3,0.01%,3 - 5 - 0,37.50%,/decks/aerodactyl-ex-mew-ex-a1a?game=POCKET&format=standard&set=A2
536,Garchomp Meowth,3,0.01%,6 - 10 - 0,37.50%,/decks/garchomp-a2-meowth-a1?game=POCKET&format=standard&set=A2
537,Gyarados ex Dusknoir,3,0.01%,4 - 7 - 0,36.36%,/decks/gyarados-ex-a1a-dusknoir-a2?game=POCKET&format=standard&set=A2
538,Lucario Onix,3,0.01%,4 - 7 - 0,36.36%,/decks/lucario-a2-onix-a1?game=POCKET&format=standard&set=A2
539,Wigglytuff ex Weezing,3,0.01%,5 - 9 - 0,35.71%,/decks/wigglytuff-ex-weezing-a1?game=POCKET&format=standard&set=A2
540,Mewtwo ex Greninja,3,0.01%,2 - 4 - 0,33.33%,/decks/mewtwo-ex-greninja-a1?game=POCKET&format=standard&set=A2
541,Weavile ex Bibarel,3,0.01%,5 - 10 - 0,33.33%,/decks/weavile-ex-bibarel-a2?game=POCKET&format=standard&set=A2
542,Togekiss Clefable,3,0.01%,4 - 8 - 0,33.33%,/decks/togekiss-a2-clefable-a1?game=POCKET&format=standard&set=A2
543,Dialga ex Greninja,3,0.01%,5 - 10 - 0,33.33%,/decks/dialga-ex-a2-greninja-a1?game=POCKET&format=standard&set=A2
544,Serperior Tangrowth,3,0.01%,2 - 4 - 0,33.33%,/decks/serperior-a1a-tangrowth-a2?game=POCKET&format=standard&set=A2
545,Zapdos ex Mew ex,3,0.01%,5 - 10 - 1,31.25%,/decks/zapdos-ex-a1-mew-ex-a1a?game=POCKET&format=standard&set=A2
546,Machamp ex Marowak ex,3,0.01%,4 - 9 - 0,30.77%,/decks/machamp-ex-marowak-ex-a1?game=POCKET&format=standard&set=A2
547,Celebi ex Venusaur ex,3,0.01%,4 - 9 - 0,30.77%,/decks/celebi-ex-a1a-venusaur-ex-a1?game=POCKET&format=standard&set=A2
548,Blastoise ex Regice,3,0.01%,3 - 7 - 0,30.00%,/decks/blastoise-ex-a1-regice-a2?game=POCKET&format=standard&set=A2
549,Lucario Kabutops,3,0.01%,3 - 7 - 0,30.00%,/decks/lucario-a2-kabutops-a1?game=POCKET&format=standard&set=A2
550,Articuno ex Dusknoir,3,0.01%,3 - 7 - 0,30.00%,/decks/articuno-ex-a1-dusknoir-a2?game=POCKET&format=standard&set=A2
551,Luxray Farfetch'd,3,0.01%,3 - 7 - 0,30.00%,/decks/luxray-a2-farfetchd-a1?game=POCKET&format=standard&set=A2
552,Gyarados ex Yanmega ex,3,0.01%,3 - 7 - 0,30.00%,/decks/gyarados-ex-a1a-yanmega-ex-a2?game=POCKET&format=standard&set=A2
553,Alakazam Florges,3,0.01%,2 - 5 - 0,28.57%,/decks/alakazam-a1-florges-a1a?game=POCKET&format=standard&set=A2
554,Gengar ex,3,0.01%,3 - 9 - 0,25.00%,/decks/gengar-ex-a1?game=POCKET&format=standard&set=A2
555,Mew ex Spiritomb,3,0.01%,3 - 9 - 0,25.00%,/decks/mew-ex-a1a-spiritomb-a2?game=POCKET&format=standard&set=A2
556,Blastoise ex Kangaskhan,3,0.01%,2 - 6 - 0,25.00%,/decks/blastoise-ex-kangaskhan-a1?game=POCKET&format=standard&set=A2
557,Dragonite Kangaskhan,3,0.01%,2 - 6 - 0,25.00%,/decks/dragonite-kangaskhan-a1?game=POCKET&format=standard&set=A2
558,Mew ex Skarmory,3,0.01%,3 - 9 - 0,25.00%,/decks/mew-ex-a1a-skarmory-a2?game=POCKET&format=standard&set=A2
559,Magnezone Azelf,3,0.01%,2 - 6 - 0,25.00%,/decks/magnezone-azelf-a2?game=POCKET&format=standard&set=A2
560,Magnezone Zapdos,3,0.01%,2 - 7 - 0,22.22%,/decks/magnezone-a2-zapdos-a1?game=POCKET&format=standard&set=A2
561,Blastoise ex Lumineon,3,0.01%,2 - 7 - 0,22.22%,/decks/blastoise-ex-a1-lumineon-a2?game=POCKET&format=standard&set=A2
